Parts of speech,Suffix
বিশেষণ,ভূত
বিশেষণ,স্ত
বিশেষ্য,ত
বিশেষ্য,্ন
বিশেষ্য,দর্শী
বিশেষ্য,ন
বিশেষ্য,ী
বিশেষণ,া
বিশেষণ,া
বিশেষণ,ি
বিশেষণ,ি
বিশেষ্য,ণ
বিশেষণ,ান্ত
বিশেষ্য,র্শী
বিশেষণ,েটর
বিশেষণ,েশন
বিশেষ্য,িব
বিশেষ্য,ন
বিশেষ্য,ক
বিশেষ্য,ক
বিশেষ্য,ীয়
বিশেষ্য,দার
বিশেষ্য,স্হ
বিশেষ্য,ন
বিশেষ্য,্য
বিশেষ্য,ী
বিশেষ্য,ন
বিশেষ্য,্য
বিশেষণ,্ষ
বিশেষণ,ি
বিশেষ্য,ণ
বিশেষ্য,দ
বিশেষণ,্ন
বিশেষ্য,িত
বিশেষ্য,্ধ
বিশেষ্য,ুত
বিশেষ্য,ন
বিশেষ্য,ঙ্গিক
বিশেষণ,ি
বিশেষ্য,্ত
বিশেষ্য,্ঠন
বিশেষণ,া
বিশেষ্য,ণ
বিশেষ্য,ন
বিশেষ্য,ু
বিশেষণ,র
বিশেষণ,া
বিশেষ্য,া
বিশেষ্য,ায়ন
বিশেষ্য,নীয়
বিশেষ্য,ন
বিশেষণ,ভূত
বিশেষ্য,ন
বিশেষ্য,পন
বিশেষ্য,্ন
বিশেষ্য,পিত
বিশেষ্য,য়ী
বিশেষ্য,ই
বিশেষণ,্য
বিশেষণ,র
বিশেষণ,্প
ক্রিয়া,র
বিশেষণ,াত
বিশেষণ,েয়
বিশেষ্য,িত
বিশেষ্য,ন
অব্যয়,শ
বিশেষ্য,িত
বিশেষ্য,জ্য
বিশেষ্য,স্ত
বিশেষ্য,াস
বিশেষ্য,ীয়
বিশেষ্য,ত
বিশেষণ,ি
বিশেষণ,্য
ক্রিয়া,র
বিশেষণ,ীভাব
বিশেষণ,ণ
বিশেষ্য,্য
বিশেষণ,ি
বিশেষণ,ুর
বিশেষণ,া
বিশেষণ,া
ক্রিয়া,ত্মক
বিশেষ্য,ী
বিশেষ্য,ণ
বিশেষণ,া
বিশেষ্য,ন
বিশেষ্য,ন
বিশেষ্য,না
বিশেষণ,ি
বিশেষণ,ি
বিশেষ্য,াপ
বিশেষ্য,র
সর্বনাম,র
বিশেষ্য,ক
বিশেষ্য,র
বিশেষ্য,ত্মা
বিশেষ্য,বতী
বিশেষ্য,য়
বিশেষ্য,ল
বিশেষ্য,ক
বিশেষ্য,ন
বিশেষ্য,ীয়
বিশেষ্য,ভ
বিশেষণ,ি
বিশেষণ,্র
বিশেষ্য,াক্ষর
বিশেষণ,িত
বিশেষ্য,া
সর্বনাম,্ত
বিশেষ্য,িত
বিশেষ্য,দন্ডী
বিশেষ্য,ীয়
বিশেষ্য,িষ
বিশেষ্য,াতক
বিশেষ্য,াক্ত
বিশেষ্য,ান
বিশেষ্য,ীকরণ
বিশেষণ,র্থ
বিশেষ্য,্য
বিশেষণ,া
বিশেষ্য,কাণ্ড
বিশেষ্য,ীয়
বিশেষ্য,িড
বিশেষ্য,্রা
বিশেষ্য,্য
বিশেষ্য,াত্
বিশেষ্য,ান্তর
বিশেষ্য,াপত্তি
বিশেষ্য,র
বিশেষ্য,িত
বিশেষ্য,ী
বিশেষ্য,ে
বিশেষ্য,োদ্ঘাটন
বিশেষ্য,োদ্ভেদ
বিশেষ্য,োপপত্তি
বিশেষ্য,্য
বিশেষণ,ত্
বিশেষ্য,ণ
বিশেষ্য,িত
বিশেষ্য,্মী
বিশেষ্য,্য
বিশেষ্য,ুষ
বিশেষণ,ি
বিশেষ্য,র
বিশেষ্য,ী
বিশেষণ,ি
বিশেষণ,ন
বিশেষ্য,ত্থ
বিশেষ্য,ামা
বিশেষণ,ি
বিশেষ্য,ারূঢ়
বিশেষ্য,ারোহণ
বিশেষ্য,িনী
বিশেষ্য,ত
বিশেষ্য,িয়
বিশেষ্য,া
বিশেষ্য,ী
বিশেষ্য,ন
বিশেষ্য,্র
বিশেষণ,য
বিশেষ্য,ী
বিশেষ্য,ি
বিশেষ্য,ুষ্ট
বিশেষ্য,ন
বিশেষণ,ন
বিশেষণ,িত
বিশেষ্য,িত
বিশেষ্য,িক
ক্রিয়া,রণ
বিশেষ্য,ু
বিশেষ্য,্য
বিশেষ্য,ক
বিশেষ্য,োপল
বিশেষ্য,র
বিশেষ্য,স্পশ্য
বিশেষ্য,ি
বিশেষ্য,ু
বিশেষ্য,োদয়
বিশেষ্য,োন্মুখ
বিশেষ্য,্যান
বিশেষ্য,্র
বিশেষ্য,ী
বিশেষণ,ক
বিশেষ্য,োপচার
বিশেষণ,ালোক
বিশেষণ,ন্দ
বিশেষ্য,্য
বিশেষ্য,ু
বিশেষ্য,কৃত
বিশেষণ,ণ
বিশেষ্য,া
বিশেষণ,ি
বিশেষ্য,িক
বিশেষ্য,ত
বিশেষণ,িস্হাপক
বিশেষ্য,র
বিশেষণ,ীকৃত
বিশেষ্য,িকা
বিশেষণ,া
বিশেষ্য,ক
বিশেষ্য,িক
বিশেষ্য,ক
বিশেষ্য,ত্র
বিশেষ্য,নো
ক্রিয়া,ড়া
বিশেষ্য,া
ক্রিয়া,নো
বিশেষ্য,ু
বিশেষ্য,ানো
বিশেষ্য,ি
বিশেষ্য,ন
বিশেষ্য,িত
বিশেষ্য,ণ
বিশেষ্য,া
বিশেষ্য,ো
বিশেষ্য,ক
বিশেষ্য,ি
বিশেষ্য,সি
বিশেষণ,মাণ
বিশেষণ,মক
বিশেষ্য,িক
বিশেষণ,নো
বিশেষণ,ী
বিশেষ্য,ন
বিশেষ্য,ার
বিশেষ্য,িক
বিশেষ্য,িরস
বিশেষ্য,োট
ক্রিয়া,ন
বিশেষ্য,্য
অব্যয়,দক
ক্রিয়া,নো
বিশেষ্য,া
বিশেষ্য,িপিছাড়ি
বিশেষ্য,ু
বিশেষ্য,া
বিশেষ্য,ম
বিশেষ্য,নো
বিশেষ্য,ই
বিশেষ্য,ঠেকা
বিশেষ্য,না
বিশেষ্য,ল
বিশেষণ,ি
বিশেষণ,াদর
বিশেষ্য,্শ
বিশেষণ,াধীন
বিশেষণ,ানুশাসন
বিশেষণ,াপরাধ
বিশেষণ,াভিমান
ক্রিয়া,ম
বিশেষণ,াশ্রয়
বিশেষণ,িক
বিশেষণ,ীকরণ
বিশেষণ,ীকরণ
বিশেষণ,ীয়
বিশেষ্য,ি
বিশেষণ,োপম
বিশেষণ,া
বিশেষণ,ি.কাল
বিশেষ্য,ক
বিশেষ্য,ক
বিশেষণ,্মিক
বিশেষ্য,চ
বিশেষ্য,স
বিশেষ্য,ক
বিশেষ্য,িক
বিশেষ্য,ক
বিশেষ্য,ি
বিশেষণ,মিক
বিশেষ্য,িক
বিশেষণ,িক
বিশেষণ,্য
বিশেষণ,িক
ক্রিয়া,তিক
বিশেষ্য,স্তে
বিশেষ্য,ি
বিশেষ্য,্নিক
বিশেষ্য,ন
বিশেষ্য,া
বিশেষণ,ায়ন
বিশেষণ,কান
ক্রিয়া,ন
বিশেষ্য,া
বিশেষ্য,ন
বিশেষণ,ক
বিশেষ্য,ন
বিশেষ্য,ন
বিশেষণ,ক
বিশেষণ,্ত
বিশেষণ,ি
বিশেষ্য,ন
বিশেষ্য,ক
বিশেষণ,ক
বিশেষ্য,ি
বিশেষ্য,ণ
বিশেষণ,র
বিশেষ্য,নো
বিশেষ্য,র
বিশেষণ,িক
বিশেষণ,িম
বিশেষ্য,ক
বিশেষ্য,া
বিশেষ্য,স
বিশেষণ,ব
বিশেষণ,ি
বিশেষ্য,ক
বিশেষণ,িক
বিশেষণ,ক
বিশেষণ,া
বিশেষ্য,ক
বিশেষ্য,া
বিশেষ্য,ো
বিশেষ্য,ন
বিশেষ্য,ন
বিশেষণ,ি
বিশেষ্য,িত
বিশেষণ,ানা
বিশেষণ,াবল
বিশেষণ,িন
বিশেষণ,ীর্ণ
বিশেষণ,ৃত
বিশেষ্য,ন
বিশেষ্য,য়ী
বিশেষণ,্
বিশেষ্য,্য
বিশেষণ,ি
বিশেষ্য,ী
বিশেষণ,ি
বিশেষ্য,ন
বিশেষ্য,মিকড়ি
বিশেষ্য,ণ
বিশেষ্য,িয়ার
বিশেষণ,ং
বিশেষ্য,িয়
বিশেষ্য,ট্রন
বিশেষ্য,ট্রিক
বিশেষ্য,শন
বিশেষ্য,ক
বিশেষ্য,াপত্তি
বিশেষ্য,ি
বিশেষ্য,ল
সর্বনাম,র
বিশেষ্য,িং
বিশেষ্য,োপাসনা
বিশেষ্য,ে
বিশেষণ,কিত
বিশেষণ,ণ্ড
বিশেষণ,রোল
বিশেষণ,শিক্ষা
বিশেষ্য,ঙ্ক্ষা
বিশেষণ,াঙ্গ
বিশেষণ,াটন
বিশেষণ,াবচ
বিশেষণ,াভিলাষ
বিশেষণ,ার
বিশেষ্য,ণ
বিশেষণ,াশয়
বিশেষণ,ৈঃ
অব্যয়,শ্রবা
বিশেষ্য,ত্তা
বিশেষ্য,দ
বিশেষ্য,িত
বিশেষ্য,ি
বিশেষণ,ী
ক্রিয়া,ই
ক্রিয়া,নো
ক্রিয়া,ন
বিশেষণ,ট
বিশেষণ,ণ্ঠ
বিশেষণ,া
বিশেষণ,র্ণ
বিশেষণ,র্ষ
বিশেষণ,ল
বিশেষ্য,িকা
বিশেষ্য,িত
বিশেষণ,িরণ
বিশেষণ,ীর্ণ
বিশেষণ,ীর্তন
বিশেষণ,ুণ
বিশেষণ,ূলিত
বিশেষণ,ত
বিশেষণ,ৃষ্ট
বিশেষ্য,তা
বিশেষণ,োচ
বিশেষণ,্রম
বিশেষণ,্রান্ত
বিশেষণ,্রোশ
বিশেষণ,্ষিপ্ত
বিশেষণ,াঙ্গ
বিশেষ্য,ঙ্গ
বিশেষ্য,ণ
বিশেষ্য,া
ক্রিয়া,কাণ্ড
বিশেষ্য,র
ক্রিয়া,পথ
ক্রিয়া,শা
ক্রিয়া,ষাঢ়া
ক্রিয়া,সঙ্গ
ক্রিয়া,স্য
ক্রিয়া,য়ণ
বিশেষ্য,ীয়
বিশেষ্য,োষ্ঠ
বিশেষ্য,মান
বিশেষণ,ন
বিশেষ্য,সু
বিশেষ্য,ঙ্গ
বিশেষ্য,ন্ন
বিশেষ্য,ব
বিশেষ্য,র্গ
বিশেষ্য,ন
বিশেষ্য,াদন
বিশেষ্য,ার
বিশেষ্য,াহ
বিশেষ্য,িক্ত
বিশেষ্য,িচ্যমান
বিশেষ্য,ুক
বিশেষ্য,ৃজন
বিশেষ্য,ৃষ্ট
বিশেষণ,া
বিশেষণ,ী
বিশেষণ,ন
বিশেষ্য,্য
বিশেষ্য,ন
বিশেষ্য,ন
বিশেষ্য,ন
বিশেষ্য,ু
বিশেষ্য,গ্ন
বিশেষ্য,ল
বিশেষ্য,ন
বিশেষ্য,ক্ত
বিশেষ্য,িক্ত
বিশেষ্য,েক
বিশেষ্য,ুরে
বিশেষণ,া
বিশেষ্য,ন
বিশেষ্য,ার
বিশেষ্য,য়
ক্রিয়া,ত
বিশেষণ,ি
বিশেষ্য,তু
বিশেষ্য,ন
বিশেষ্য,্র
বিশেষ্য,ক
অব্যয়,ণ
বিশেষ্য,্ট
বিশেষ্য,ী
বিশেষ্য,ংস
বিশেষণ,্ন
বিশেষ্য,ণ
বিশেষ্য,িত
বিশেষণ,াপন
বিশেষণ,িত
বিশেষ্য,্য
বিশেষ্য,ন
বিশেষ্য,ন
বিশেষ্য,ো
বিশেষ্য,া
বিশেষ্য,ীষ
অব্যয়,র
বিশেষ্য,ী
বিশেষণ,ার
বিশেষণ,র
বিশেষ্য,্থ
বিশেষ্য,তি
বিশেষ্য,ার
বিশেষ্য,দোক্কা
বিশেষ্য,ে
বিশেষ্য,ড
বিশেষ্য,য
বিশেষ্য,ক
বিশেষ্য,পদ্য
বিশেষ্য,ক
বিশেষণ,জালিক
বিশেষণ,িলা
বিশেষণ,িয়ক
বিশেষণ,ী
বিশেষণ,ি
বিশেষ্য,য
বিশেষ্য,ক
বিশেষ্য,িক
বিশেষ্য,িক
বিশেষ্য,িক
বিশেষ্য,ক
বিশেষ্য,িক
বিশেষ্য,াগ্নি
বিশেষণ,র
বিশেষ্য,ণ
বিশেষ্য,ত
বিশেষ্য,র
বিশেষ্য,োল
বিশেষ্য,াল
বিশেষ্য,পানা
বিশেষ্য,প
বিশেষ্য,ী
বিশেষ্য,ুস
বিশেষ্য,ত্
বিশেষ্য,র
বিশেষ্য,রি
বিশেষ্য,সাগর
বিশেষণ,র
বিশেষ্য,র
বিশেষ্য,্প
বিশেষ্য,ল
বিশেষ্য,ু
বিশেষ্য,র
বিশেষ্য,ি
বিশেষ্য,ী
বিশেষ্য,ক্ষ
বিশেষ্য,ী
বিশেষ্য,ু
বিশেষ্য,কর
বিশেষ্য,গুঁড়ি
বিশেষণ,ী
বিশেষ্য,ী
বিশেষ্য,ার
বিশেষ্য,ার
বিশেষ্য,য়
বিশেষ্য,ি
বিশেষ্য,্ত
বিশেষ্য,া
বিশেষণ,া
বিশেষ্য,শ
বিশেষ্য,াট
বিশেষ্য,ান্তর
বিশেষ্য,িকা
বিশেষ্য,র
বিশেষ্য,েজপ
অব্যয়,ারক
বিশেষ্য,ক
বিশেষ্য,কার
বিশেষ্য,ধারয়
বিশেষ্য,ীয়
বিশেষ্য,াকর্ম
বিশেষ্য,াধ্যক্ষ
বিশেষ্য,ানুবন্ধ
বিশেষ্য,ানুরূপ
বিশেষ্য,ান্তর
বিশেষ্য,ার
বিশেষ্য,্হ
বিশেষ্য,িষ্ঠ
বিশেষ্য,ী
বিশেষ্য,েন্দ্রিয়
বিশেষ্য,ী
বিশেষ্য,প
বিশেষ্য,ন
বিশেষণ,্ষয়
বিশেষ্য,া
বিশেষণ,ান
বিশেষ্য,াণ
বিশেষণ,া
বিশেষণ,োল
বিশেষ্য,ক
বিশেষ্য,ি
বিশেষ্য,ই
বিশেষ্য,ড়া
বিশেষ্য,ন
বিশেষ্য,র
বিশেষ্য,োল
বিশেষ্য,ুড়
বিশেষ্য,চুয়া
বিশেষ্য,া
বিশেষ্য,ি
বিশেষ্য,জ
বিশেষ্য,লি
অব্যয়,তুয়া
ক্রিয়া,নো
ক্রিয়া,রি
বিশেষ্য,ম
বিশেষ্য,য়া
ক্রিয়া,র
ক্রিয়া,্য
ক্রিয়া,রি
বিশেষ্য,া
বিশেষ্য,ার
বিশেষ্য,ন
বিশেষ্য,ী
বিশেষণ,র
বিশেষ্য,ী
বিশেষণ,িনী
বিশেষ্য,ই
বিশেষ্য,চ
বিশেষ্য,ড়া
বিশেষ্য,ার
বিশেষ্য,ি
বিশেষণ,ন
বিশেষণ,র্প
বিশেষণ,া
বিশেষ্য,ক
বিশেষণ,ষ
বিশেষ্য,ডি
বিশেষ্য,ব
বিশেষ্য,চিনি
বিশেষ্য,র
বিশেষ্য,ি
বিশেষ্য,ী
বিশেষ্য,্দীপক
বিশেষণ,িত
বিশেষণ,ুন
বিশেষণ,ব
বিশেষ্য,কর
বিশেষ্য,কা
বিশেষ্য,কুরি
বিশেষ্য,গর
বিশেষ্য,ত
বিশেষ্য,ণিক
বিশেষ্য,ণ্য
বিশেষণ,ি
বিশেষণ,্য
বিশেষণ,কাল
বিশেষণ,গুরু
বিশেষণ,জিন
বিশেষণ,জ্বর
বিশেষ্য,িক
বিশেষণ,নো
বিশেষণ,ন্তক
বিশেষণ,ন্তর
বিশেষণ,পানি
বিশেষণ,পাহাড়
বিশেষণ,পেড়ে
বিশেষণ,মুখ
বিশেষণ,ি
বিশেষণ,শৌচ
বিশেষ্য,ক
বিশেষণ,া
বিশেষ্য,দহ
বিশেষ্য,দাস
বিশেষ্য,নী
বিশেষ্য,ন্দী
বিশেষ্য,মা
বিশেষ্য,য়া
বিশেষণ,চিত
বিশেষণ,য়াত
বিশেষণ,য়ার
বিশেষ্য,া
বিশেষ্য,সন
বিশেষ্য,িকা
বিশেষ্য,ি
বিশেষণ,বিমূঢ়
অব্যয়,রা
বিশেষণ,ষ
বিশেষ্য,কা
বিশেষ্য,ি
বিশেষ্য,ি
বিশেষ্য,রু
বিশেষ্য,া
বিশেষ্য,ুলি
বিশেষ্য,্র
বিশেষণ,া
বিশেষ্য,র
বিশেষ্য,ল
বিশেষ্য,পাটি
বিশেষ্য,ল
বিশেষ্য,কুড়
বিশেষ্য,চি
বিশেষ্য,বা
বিশেষ্য,ি
বিশেষ্য,ুরমুড়ুর
বিশেষ্য,ল
অব্যয়,াপি
বিশেষণ,ি
বিশেষ্য,কা
বিশেষ্য,ল
বিশেষ্য,র
বিশেষ্য,ুলি
বিশেষ্য,্য
বিশেষণ,ষ
বিশেষণ,ি
বিশেষ্য,য়
বিশেষ্য,য
বিশেষ্য,না
বিশেষ্য,ু
বিশেষণ,ি
বিশেষ্য,ি
বিশেষ্য,ণা
বিশেষ্য,ী
বিশেষ্য,কা
বিশেষ্য,ক
বিশেষ্য,র্ণ
বিশেষ্য,ীপাক
বিশেষ্য,ীর
বিশেষণ,ি
বিশেষ্য,মা
বিশেষ্য,চি
বিশেষ্য,ন্দ
বিশেষ্য,িনী
বিশেষ্য,ুল
বিশেষ্য,ণ
বিশেষ্য,শ
বিশেষণ,ব
বিশেষ্য,ী
বিশেষ্য,ান
বিশেষ্য,্ভ
বিশেষ্য,া
বিশেষণ,ি
বিশেষণ,কৌশল
বিশেষণ,ত
বিশেষণ,ি
বিশেষ্য,.বাস
বিশেষ্য,ক
বিশেষ্য,া
বিশেষণ,য
বিশেষ্য,ম
বিশেষণ,স্ন
বিশেষ্য,ণ
বিশেষণ,ি
বিশেষ্য,লি
বিশেষণ,ঙ্কার
বিশেষ্য,ণ
বিশেষ্য,মত
বিশেষ্য,র
বিশেষ্য,স
বিশেষ্য,ড়া
বিশেষ্য,স
ক্রিয়া,ল
বিশেষ্য,চ
বিশেষণ,ল
বিশেষণ,স
বিশেষ্য,মার্শাল
বিশেষ্য,শিপ
বিশেষ্য,ক
বিশেষ্য,হল
বিশেষ্য,গার
বিশেষ্য,ধ্যক্ষ
বিশেষ্য,ী
বিশেষ্য,ক
বিশেষ্য,লিশন
বিশেষ্য,শিয়া
বিশেষ্য,্য
বিশেষ্য,ী
বিশেষ্য,েয়
বিশেষ্য,ী
বিশেষ্য,সুল
বিশেষ্য,্টেন
বিশেষ্য,োর
বিশেষ্য,েলক
বিশেষণ,ি
বিশেষ্য,ি
বিশেষ্য,্তা
বিশেষ্য,্র
বিশেষ্য,িয়
বিশেষ্য,ী
বিশেষণ,তা
বিশেষণ,া
বিশেষ্য,িত
বিশেষ্য,ীয়
বিশেষ্য,াব্ধি
বিশেষ্য,িকা
বিশেষ্য,োদ
বিশেষ্য,প্র
বিশেষ্য,ী
বিশেষ্য,্তা
বিশেষণ,ন
বিশেষ্য,ি
বিশেষণ,র
বিশেষ্য,মাটি
বিশেষ্য,শ
বিশেষ্য,ি
বিশেষ্য,ই
বিশেষ্য,ঞ্চি
ক্রিয়া,ল
বিশেষ্য,ত
বিশেষ্য,ল
বিশেষ্য,জ
বিশেষ্য,স
বিশেষ্য,ি
বিশেষ্য,জুলি
বিশেষ্য,ত্য
বিশেষ্য,ই
বিশেষ্য,ি
বিশেষ্য,নাটি
বিশেষ্য,ি
বিশেষ্য,ল
বিশেষ্য,ি
বিশেষ্য,প
বিশেষণ,য়াড়
বিশেষ্য,ল
বিশেষ্য,া
বিশেষ্য,বন্দ
বিশেষ্য,া
ক্রিয়া,র
বিশেষ্য,মকুচি
বিশেষ্য,র
বিশেষ্য,র
বিশেষণ,ত
বিশেষ্য,ি
বিশেষ্য,া
বিশেষ্য,্র
বিশেষ্য,ন
বিশেষ্য,িকা
বিশেষ্য,িত
বিশেষ্য,া
বিশেষ্য,গড়ি
বিশেষ্য,ক
বিশেষ্য,ী
বিশেষ্য,গোল
বিশেষ্য,া
বিশেষ্য,র
বিশেষ্য,ূষ
বিশেষ্য,ি
বিশেষ্য,ী
বিশেষ্য,ক
বিশেষ্য,র্ব
বিশেষ্য,লি
বিশেষ্য,ী
বিশেষ্য,েন্দ্রিয়
বিশেষ্য,েশ্বরী
বিশেষ্য,োপজীবী
বিশেষণ,টা
বিশেষ্য,ষ
বিশেষণ,বেদী
বিশেষণ,া
বিশেষ্য,য়া
বিশেষ্য,মান্
বিশেষ্য,ন
বিশেষ্য,ানি
বিশেষ্য,গুঁই
বিশেষ্য,য়া
বিশেষণ,িনী
