Word,Parts of speech,Suffix
অতৃপ্ত,বিশেষণ,প্ত
অত্বর,বিশেষণ,বর
অত্যধিক,বিশেষণ,যধিক
অত্যন্ত,বিশেষণ,যন্ত
অত্যল্প,বিশেষণ,যল্প
অত্যশন,বিশেষ্য,যশন
অত্যহিত,বিশেষ্য,যহিত
অত্যাগসহন,বিশেষণ,যাগসহন
অত্যাচার,বিশেষ্য,যাচার
অত্যাজ্য,বিশেষণ,যাজ্য
অত্যাদর,বিশেষ্য,যাদর
অত্যাধুনিক,বিশেষণ,যাধুনিক
অত্যাবশ্যক,বিশেষণ,যাবশ্যক
অত্যাশ্চর্য,বিশেষণ,যাশ্চর্য
অত্যাসক্ত,বিশেষণ,যাসক্ত
অত্যাহিত,বিশেষ্য,যাহিত
অত্যুক্তি,বিশেষ্য,যুক্তি
অত্যুগ্র,বিশেষণ,যুগ্র
অত্যুজ্জ্বল,বিশেষণ,যুজ্জ্বল
অত্যুত্কট,বিশেষণ,যুত্কট
অত্যুত্কৃষ্ট,বিশেষণ,যুত্কৃষ্ট
অত্যুত্পাদন,বিশেষ্য,যুত্পাদন
অত্যুত্সাহ,বিশেষ্য,যুত্সাহ
অত্যুদ্ব্যক্তি,বিশেষ্য,যুদ্ব্যক্তি
অত্যুষ্ণ,বিশেষণ,যুষ্ণ
অত্যয়,বিশেষ্য,যয়
অত্রি,বিশেষ্য,রি
অথান্তর,বিশেষ্য,তর
অদণ্ডনীয়,বিশেষণ,ীয়
অদন্ত,বিশেষণ,ত
অদরকারি,বিশেষণ,ারি
অদর্শন,বিশেষ্য,শন
অদলবদল,বিশেষ্য,দল
অদৃষ্টিগোচর,বিশেষণ,গোচর
অদেবমাতৃক,বিশেষণ,াতৃক
অদ্বিতীয়,বিশেষণ,ীয়
অধমর্ণ,বিশেষ্য,্ণ
অধমাধম,বিশেষণ,ধম
অধরামৃত,বিশেষ্য,মৃত
অধরিক,বিশেষণ,ক
অধরীকৃত,বিশেষণ,কৃত
অধর্ম,বিশেষ্য,ম
অধস্তন,বিশেষণ,তন
অধার্মিক,বিশেষণ,্মিক
অধি.কর্তা,বিশেষ্য,তা
অধিকরণ,বিশেষ্য,ণ
অধিকারূঢ়বৈশিষ্ট্য,বিশেষ্য,রূঢ়বৈশিষ্ট্য
অধিকৃত,বিশেষণ,ত
অধিক্রম,বিশেষ্য,রম
অধিক্ষিপ্ত,বিশেষণ,ষিপ্ত
অধিক্ষেত্র,বিশেষ্য,ষেত্র
অধিক্ষেপ,বিশেষ্য,ষেপ
অধিগম্যতা,বিশেষ্য,্যতা
অধিপ্রাণবাদ,বিশেষ্য,াদ
অধিবর্ষ,বিশেষ্য,ষ
অধিবেদন,বিশেষ্য,ন
অধিবেশন,বিশেষ্য,ন
অধীয়মান,বিশেষণ,মান
অধ্যবসায়,বিশেষ্য,ায়
অনগ্রসর,বিশেষণ,রসর
অনঙ্কুরিত,বিশেষণ,িত
অনতিক্রান্ত,বিশেষণ,ক্রান্ত
অননুকরণীয়,বিশেষণ,ীয়
অনন্যোপায়,বিশেষণ,পায়
অনপায়ী,বিশেষণ,ী
অনবকাশ,বিশেষ্য,াশ
অনবগত,বিশেষণ,ত
অনবগুণ্ঠিত,বিশেষণ,ুণ্ঠিত
অনবচ্ছিন্ন,বিশেষণ,্ছিন্ন
অনবচ্ছেদ,বিশেষ্য,্ছেদ
অনবদ্য,বিশেষণ,্য
অনবধান,বিশেষ্য,ান
অনবরত,বিশেষণ,ত
অনবরুদ্ধ,বিশেষণ,ুদ্ধ
অনবরোধ,বিশেষ্য,োধ
অনবসর,বিশেষ্য,র
অনবস্হা,বিশেষ্য,্হা
অনবহিত,বিশেষণ,িত
অনভিলষণীয়,বিশেষণ,ণীয়
অনর্গল,বিশেষণ,গল
অনর্ঘ,বিশেষণ,ঘ
অনর্থ,বিশেষ্য,থ
অনর্থক,বিশেষণ,থক
অনর্হ,বিশেষণ,হ
অনলংকার,বিশেষ্য,কার
অনল্প,বিশেষণ,প
অনস্বীকার্য,বিশেষণ,কার্য
অনাকাঙ্ক্ষা,বিশেষ্য,ঙ্ক্ষা
অনাক্রমণ,বিশেষ্য,রমণ
অনাক্রম্য,বিশেষণ,রম্য
অনাগ্রহ,বিশেষ্য,রহ
অনাচ্ছাদিত,বিশেষণ,ছাদিত
অনাদায়,বিশেষ্য,য়
অনাবিষ্কৃত,বিশেষণ,্কৃত
অনাবিষ্ট,বিশেষণ,্ট
অনাবৃত্তি,বিশেষ্য,তি
অনারম্ভ,বিশেষ্য,ভ
অনারারি,বিশেষণ,ি
অনালোকিত,বিশেষণ,কিত
অনালোচিত,বিশেষণ,চিত
অনাশ্রয়,বিশেষণ,রয়
অনাসক্ত,বিশেষণ,্ত
অনাসৃষ্টি,বিশেষণ,ষ্টি
অনাস্বাদিত,বিশেষণ,বাদিত
অনাস্হা,বিশেষ্য,হা
অনিচ্ছা,বিশেষ্য,ছা
অনিবদ্ধ,বিশেষণ,্ধ
অনিবর্তন,বিশেষ্য,্তন
অনিবার্য,বিশেষণ,র্য
অনিবিড়,বিশেষণ,ড়
অনিমন্ত্রিত,বিশেষণ,্ত্রিত
অনিমিখ,বিশেষণ,খ
অনিয়তকার,বিশেষণ,ার
অনিয়ন্ত্রিত,বিশেষণ,ত্রিত
অনীপ্সিত,বিশেষণ,সিত
অনুকম্পা,বিশেষ্য,ম্পা
অনুকরণ,বিশেষ্য,রণ
অনুকল্প,বিশেষ্য,ল্প
অনুকূল,বিশেষণ,ূল
অনুকৃত,বিশেষণ,ৃত
অনুক্রম,বিশেষ্য,্রম
অনুগমন,বিশেষ্য,মন
অনুগৃহীত,বিশেষণ,ৃহীত
অনুগ্র,বিশেষণ,্র
অনুগ্রহ,বিশেষ্য,্রহ
অনুচর,বিশেষ্য,র
অনুচিকীর্ষা,বিশেষ্য,িকীর্ষা
অনুচিত,বিশেষণ,িত
অনুচ্চ,বিশেষণ,্চ
অনুচ্চার,বিশেষণ,্চার
অনুজীবী,বিশেষ্য,ীবী
অনুজীব্য,বিশেষণ,ীব্য
অনুজ্জ্বল,বিশেষণ,্জ্বল
অনুজ্ঞা,বিশেষ্য,্ঞা
অনুতপ্ত,বিশেষণ,প্ত
অনুতাপ,বিশেষ্য,াপ
অনুত্কর্ষ,বিশেষ্য,্কর্ষ
অনুত্তম,বিশেষণ,্তম
অনুত্তর,বিশেষণ,্তর
অনুত্তীর্ণ,বিশেষণ,্তীর্ণ
অনুত্সাহ,বিশেষ্য,্সাহ
অনুদাত্ত,বিশেষণ,াত্ত
অনুদান,বিশেষ্য,ান
অনুদিত,বিশেষণ,িত
অনুদেশ,বিশেষ্য,েশ
অনুদৈর্ঘ্য,বিশেষণ,ৈর্ঘ্য
অনুদ্ঘাত,বিশেষ্য,্ঘাত
অনুদ্দিষ্ট,বিশেষণ,্দিষ্ট
অনুদ্দেশ,বিশেষ্য,্দেশ
অনুদ্ধত,বিশেষণ,্ধত
অনুদ্বিগ্ন,বিশেষণ,্বিগ্ন
অনুদ্ভিন্ন,বিশেষণ,্ভিন্ন
অনুদ্যত,বিশেষণ,্যত
অনুধাবন,বিশেষ্য,াবন
অনুধ্যান,বিশেষ্য,্যান
অনুনাদ,বিশেষ্য,াদ
অনুনাসিক,বিশেষণ,াসিক
অনুন্নত,বিশেষণ,্নত
অনুনয়,বিশেষ্য,য়
অনুপকার,বিশেষ্য,কার
অনুপদিষ্ট,বিশেষণ,দিষ্ট
অনুপপত্তি,বিশেষ্য,পত্তি
অনুপম,বিশেষণ,ম
অনুপযুক্ত,বিশেষণ,যুক্ত
অনুপল,বিশেষ্য,ল
অনুপলব্ধি,বিশেষ্য,লব্ধি
অনুপস্হিত,বিশেষণ,স্হিত
অনুপাত,বিশেষ্য,াত
অনুপান,বিশেষ্য,ান
অনুপায়,বিশেষ্য,ায়
অনুপুঙ্খ,বিশেষ্য,ুঙ্খ
অনুপূরক,বিশেষণ,ূরক
অনুপূর্ব,বিশেষ্য,ূর্ব
অনুপেত,বিশেষণ,েত
অনুপ্ত,বিশেষণ,্ত
অনুপ্রবেশ,বিশেষ্য,্রবেশ
অনুপ্রস্হ,বিশেষণ,্রস্হ
অনুপ্রাণন,বিশেষ্য,্রাণন
অনুপ্রাণিত,বিশেষণ,্রাণিত
অনুপ্রাস,বিশেষ্য,্রাস
অনুপ্রেরণা,বিশেষ্য,্রেরণা
অনুবদ্ধ,বিশেষণ,দ্ধ
অনুবন্ধ,বিশেষ্য,ন্ধ
অনুবর্তন,বিশেষ্য,র্তন
অনুবল,বিশেষ্য,ল
অনুবাত,বিশেষণ,াত
অনুবাসন,বিশেষ্য,াসন
অনুবিদ্ধ,বিশেষণ,িদ্ধ
অনুবিধান,বিশেষ্য,িধান
অনুবিধি,বিশেষ্য,িধি
অনুবৃত্তি,বিশেষ্য,ৃত্তি
অনুবেদন,বিশেষ্য,েদন
অনুবোধ,বিশেষ্য,োধ
অনুবোল,বিশেষ্য,োল
অনুভব,বিশেষ্য,ব
অনুভাব,বিশেষ্য,াব
অনুভাবিত,বিশেষণ,াবিত
অনুভাবী,বিশেষ্য,াবী
অনুভূ,বিশেষ্য,ূ
অনুভূতি,বিশেষ্য,ূতি
অনুভূমিক,বিশেষণ,ূমিক
অনুমত,বিশেষণ,ত
অনুমরণ,বিশেষ্য,রণ
অনুমাপক,বিশেষণ,াপক
অনুমৃত,বিশেষণ,ৃত
অনুমোদন,বিশেষ্য,োদন
অনুযাত,বিশেষণ,াত
অনুযায়ী,বিশেষণ,ায়ী
অনুযোগ,বিশেষ্য,োগ
অনুরক্ত,বিশেষণ,ক্ত
অনুরঞ্জন,বিশেষ্য,ঞ্জন
অনুরণন,বিশেষ্য,ণন
অনুরথ,বিশেষ্য,থ
অনুরথ্যা,বিশেষ্য,থ্যা
অনুরাগ,বিশেষ্য,াগ
অনুরাধা,বিশেষ্য,াধা
অনুরূপ,বিশেষণ,ূপ
অনুর্বর,বিশেষণ,্বর
অনুলম্ব,বিশেষণ,ম্ব
অনুলাপ,বিশেষ্য,াপ
অনুলিপ্ত,বিশেষণ,িপ্ত
অনুলেপ,বিশেষ্য,েপ
অনুলেহ,বিশেষ্য,েহ
অনুলোম,বিশেষ্য,োম
অনুলোম্য,বিশেষ্য,োম্য
অনুল্লঙ্ঘনীয়,বিশেষণ,্লঙ্ঘনীয়
অনুল্লিখিত,বিশেষণ,্লিখিত
অনুল্লেখ,বিশেষ্য,্লেখ
অনুশাসন,বিশেষ্য,াসন
অনুশিষ্য,বিশেষ্য,িষ্য
অনুশীলন,বিশেষ্য,ীলন
অনুশয়,বিশেষ্য,য়
অনুষঙ্গ,বিশেষ্য,ঙ্গ
অনুষ্ঠাতা,বিশেষ্য,্ঠাতা
অনুষ্ঠান,বিশেষ্য,্ঠান
অনুষ্ণ,বিশেষণ,্ণ
অনুসঙ্গ,বিশেষ্য,ঙ্গ
অনুসন্ধান,বিশেষ্য,ন্ধান
অনুসন্ধিত্সা,বিশেষ্য,ন্ধিত্সা
অনুসরণ,বিশেষ্য,রণ
অনুসর্গ,বিশেষ্য,র্গ
অনুসার,বিশেষ্য,ার
অনুসিদ্ধান্ত,বিশেষ্য,িদ্ধান্ত
অনুসূচক,বিশেষণ,ূচক
অনুসৃত,বিশেষণ,ৃত
অনুস্মরণ,বিশেষ্য,্মরণ
অনুস্মৃতি,বিশেষ্য,্মৃতি
অনুস্যূত,বিশেষণ,্যূত
অনৃজু,বিশেষণ,ু
অনৈক্য,বিশেষ্য,্য
অনৈচ্ছিক,বিশেষণ,্ছিক
অনৈতিক,বিশেষণ,িক
অনৈসর্গিক,বিশেষণ,র্গিক
অনৌচিত্য,বিশেষ্য,িত্য
অন্তরঙ্গ,বিশেষণ,ঙ্গ
অন্তরা,বিশেষ্য,া
অন্তরাত্মা,বিশেষ্য,াত্মা
অন্তরাল,বিশেষ্য,াল
অন্তরায়,বিশেষ্য,ায়
অন্তরিন্দ্রিয়,বিশেষ্য,িন্দ্রিয়
অন্তরীপ,বিশেষ্য,ীপ
অন্তরীয়,বিশেষ্য,ীয়
অন্তর্গত,বিশেষণ,্গত
অন্তর্গূঢ়,বিশেষণ,্গূঢ়
অন্তর্গৃহ,বিশেষ্য,্গৃহ
অন্তর্গ্লানি,বিশেষ্য,্গ্লানি
অন্তর্ঘাত,বিশেষ্য,্ঘাত
অন্তর্জগত্,বিশেষ্য,্জগত্
অন্তর্জলি,বিশেষ্য,্জলি
অন্তর্জাতীয়,বিশেষণ,্জাতীয়
অন্তর্দশন,বিশেষ্য,্দশন
অন্তর্দশা,বিশেষ্য,্দশা
অন্তর্দাহ,বিশেষ্য,্দাহ
অন্তর্দীপন,বিশেষ্য,্দীপন
অন্তর্দৃষ্টি,বিশেষ্য,্দৃষ্টি
অন্তর্দেশ,বিশেষ্য,্দেশ
অন্তর্ধান,বিশেষ্য,্ধান
অন্তর্নিবিষ্ট,বিশেষণ,্নিবিষ্ট
অন্তর্নিহিত,বিশেষণ,্নিহিত
অন্তর্বতী,বিশেষণ,্বতী
অন্তর্বত্নী,বিশেষণ,্বত্নী
অন্তর্বাণিজ্য,বিশেষ্য,্বাণিজ্য
অন্তর্বাষ্প,বিশেষ্য,্বাষ্প
অন্তর্বাস,বিশেষ্য,্বাস
অন্তর্বাহী,বিশেষণ,্বাহী
অন্তর্বিগ্রহ,বিশেষ্য,্বিগ্রহ
অন্তর্বিপ্লব,বিশেষ্য,্বিপ্লব
অন্তর্বিবাহ,বিশেষ্য,্বিবাহ
অন্তর্বিরোধ,বিশেষ্য,্বিরোধ
অন্তর্বেদনা,বিশেষ্য,্বেদনা
অন্তর্ভুক্ত,বিশেষণ,্ভুক্ত
অন্তর্ভূত,বিশেষণ,্ভূত
অন্তর্ভেদী,বিশেষণ,্ভেদী
অন্তর্মাধুর্য,বিশেষ্য,্মাধুর্য
অন্তর্মুখ,বিশেষণ,্মুখ
অন্তর্মুখিতা,বিশেষ্য,্মুখিতা
অন্তর্যামী,বিশেষণ,্যামী
অন্তর্লীন,বিশেষণ,্লীন
অন্তর্হিত,বিশেষণ,্হিত
অন্তস্তল,বিশেষ্য,্তল
অন্তস্হ,বিশেষণ,্হ
অন্তহীন,বিশেষণ,ীন
অন্তিম,বিশেষণ,ম
অন্তেবাসী,বিশেষ্য,বাসী
অন্ত্যাক্ষরি,বিশেষ্য,যাক্ষরি
অন্ত্যানুপ্রাস,বিশেষ্য,যানুপ্রাস
অন্ত্যেষ্টি,বিশেষ্য,যেষ্টি
অন্ধিসন্ধি,বিশেষ্য,সন্ধি
অন্বেষণ,বিশেষ্য,ণ
অন্যান্য,বিশেষ্য,ন্য
অন্যায্য,বিশেষণ,য্য
অন্যাসক্ত,বিশেষণ,সক্ত
অন্যূন,বিশেষণ,ন
অন্যোন্য,বিশেষণ,ন্য
অপকর্ম,বিশেষণ,র্ম
অপকর্ষ,বিশেষ্য,র্ষ
অপকলঙ্ক,বিশেষ্য,লঙ্ক
অপকীর্তি,বিশেষ্য,ীর্তি
অপকৃষ্ট,বিশেষণ,ৃষ্ট
অপকেন্দ্র,বিশেষণ,েন্দ্র
অপক্ক,বিশেষণ,্ক
অপক্রিয়া,বিশেষ্য,্রিয়া
অপক্ষপাত,বিশেষ্য,্ষপাত
অপগা,বিশেষণ,া
অপগুণ,বিশেষ্য,ুণ
অপঘাত,বিশেষ্য,াত
অপচার,বিশেষ্য,ার
অপচেষ্টা,বিশেষ্য,েষ্টা
অপচ্ছায়া,বিশেষ্য,্ছায়া
অপচয়,বিশেষ্য,য়
অপছন্দ,বিশেষণ,ন্দ
অপজাত,বিশেষণ,াত
অপজাতি,বিশেষ্য,াতি
অপজ্ঞান,বিশেষ্য,্ঞান
অপটু,বিশেষণ,ু
অপঠিত,বিশেষণ,িত
অপণ্ডিত,বিশেষণ,্ডিত
অপতন,বিশেষ্য,ন
অপত্নীক,বিশেষণ,্নীক
অপত্য,বিশেষ্য,্য
অপদস্ত,বিশেষণ,স্ত
অপদার্থ,বিশেষণ,ার্থ
অপদেবতা,বিশেষ্য,েবতা
অপনোদন,বিশেষ্য,োদন
অপপাঠ,বিশেষ্য,াঠ
অপপ্রচার,বিশেষ্য,্রচার
অপপ্রয়োগ,বিশেষ্য,্রয়োগ
অপবর্গ,বিশেষ্য,র্গ
অপবর্জন,বিশেষ্য,র্জন
অপবিত্র,বিশেষণ,িত্র
অপবিদ্যা,বিশেষ্য,িদ্যা
অপব্যবহার,বিশেষ্য,্যবহার
অপব্যয়,বিশেষ্য,্যয়
অপভাষ,বিশেষ্য,াষ
অপভাষা,বিশেষ্য,াষা
অপভ্রংশ,বিশেষ্য,্রংশ
অপমান,বিশেষ্য,ান
অপমিশ্রণ,বিশেষ্য,িশ্রণ
অপমৃত্যু,বিশেষ্য,ৃত্যু
অপযশ,বিশেষ্য,শ
অপরশ,বিশেষণ,শ
অপরাঙ্মুখ,বিশেষণ,াঙ্মুখ
অপরাজিত,বিশেষণ,াজিত
অপরাজেয়,বিশেষণ,াজেয়
অপরাধ,বিশেষ্য,াধ
অপরাপর,বিশেষণ,াপর
অপরাভূত,বিশেষণ,াভূত
অপরাস্ত,বিশেষণ,াস্ত
অপরাহত,বিশেষণ,াহত
অপরাহ্ন,বিশেষ্য,াহ্ন
অপরিকল্পিত,বিশেষণ,িকল্পিত
অপরিগ্রহ,বিশেষ্য,িগ্রহ
অপরিচ্ছন্ন,বিশেষণ,িচ্ছন্ন
অপরিচ্ছিন্ন,বিশেষণ,িচ্ছিন্ন
অপরিচয়,বিশেষ্য,িচয়
অপরিজ্ঞাত,বিশেষণ,িজ্ঞাত
অপরিজ্ঞে.য়,বিশেষণ,িজ্ঞে.য়
অপরিণত,বিশেষণ,িণত
অপরিণামদর্শী,বিশেষণ,িণামদর্শী
অপরিতুষ্ট,বিশেষণ,িতুষ্ট
অপরিত্যাজ্য,বিশেষণ,িত্যাজ্য
অপরিপক্ক,বিশেষণ,িপক্ক
অপরিপাটি,বিশেষণ,িপাটি
অপরিপূর্ণ,বিশেষণ,িপূর্ণ
অপরিবর্তন,বিশেষ্য,িবর্তন
অপরিবাহী,বিশেষণ,িবাহী
অপরিমাণ,বিশেষণ,িমাণ
অপরিমার্জিত,বিশেষণ,িমার্জিত
অপরিম্লান,বিশেষণ,িম্লান
অপরিশুদ্ধ,বিশেষণ,িশুদ্ধ
অপরিশোধ,বিশেষ্য,িশোধ
অপরিষ্কার,বিশেষণ,িষ্কার
অপরিসর,বিশেষণ,িসর
অপরিসীম,বিশেষণ,িসীম
অপরিস্ফুট,বিশেষণ,িস্ফুট
অপরিস্রুত,বিশেষণ,িস্রুত
অপরীক্ষিত,বিশেষণ,ীক্ষিত
অপরোক্ষ,বিশেষণ,োক্ষ
অপর্ণা,বিশেষ্য,্ণা
অপর্যাপ্ত,বিশেষণ,্যাপ্ত
অপর্যুসিত,বিশেষণ,্যুসিত
অপলক,বিশেষণ,ক
অপলকা,বিশেষণ,কা
অপশব্দ,বিশেষ্য,ব্দ
অপশিক্ষা,বিশেষ্য,িক্ষা
অপশ্রুতি,বিশেষ্য,্রুতি
অপসংস্কৃতি,বিশেষ্য,ংস্কৃতি
অপসারণ,বিশেষ্য,ারণ
অপস্কর,বিশেষ্য,্কর
অপস্মার,বিশেষ্য,্মার
অপস্রিয়মাণ,বিশেষণ,্রিয়মাণ
অপহত,বিশেষ্য,ত
অপহরণ,বিশেষ্য,রণ
অপাক,বিশেষ্য,ক
অপাঙ্ক্তেয়,বিশেষণ,ঙ্ক্তেয়
অপাঙ্গ,বিশেষ্য,ঙ্গ
অপাচ্য,বিশেষণ,চ্য
অপাঠ্য,বিশেষণ,ঠ্য
অপাত্র,বিশেষ্য,ত্র
অপাদান,বিশেষ্য,দান
অপাপ,বিশেষণ,প
অপামার্গ,বিশেষ্য,মার্গ
অপারদর্শী,বিশেষণ,রদর্শী
অপারেটর,বিশেষ্য,রেটর
অপারেশন,বিশেষ্য,রেশন
অপার্থিব,বিশেষণ,র্থিব
অপালন,বিশেষ্য,লন
অপায়ন,বিশেষ্য,য়ন
অপিচ,অব্যয়,চ
অপিধান,বিশেষ্য,ধান
অপিনদ্ধ,বিশেষণ,নদ্ধ
অপিনিহিত,বিশেষ্য,নিহিত
অপুচ্ছ,বিশেষণ,চ্ছ
অপুণ্য,বিশেষ্য,ণ্য
অপুত্রক,বিশেষণ,ত্রক
অপুনর্ভব,বিশেষ্য,নর্ভব
অপুর্ব,বিশেষণ,র্ব
অপুষ্পক,বিশেষণ,ষ্পক
অপুষ্যি,বিশেষ্য,ষ্যি
অপূজিত,বিশেষণ,জিত
অপূপ,বিশেষ্য,প
অপূরণীয়,বিশেষণ,রণীয়
অপূর্ণ,বিশেষণ,র্ণ
অপেক্ষা,বিশেষ্য,ক্ষা
অপেরণ,বিশেষ্য,রণ
অপেশাদার,বিশেষণ,শাদার
